Ticker,Date/Time,Price,Volumen,Sector,Slope,R2,Norm_Dist,RSC,RSC_S,Atlas,dist_a_max,dist_a_WMA30,ROC18,ROC50,NATR18,NATR50,MICValue,Sharpe_ratio,MACD_v,RSI
EGAN,7/11/2025,14.42,1202670.50,Technology,0.19,0.864,1.23,9.61,0.75,1.00,7.21,2.73,3.22,127.44,6.74,4.80,10.90,2.30,113.30,59.01
KLAC,7/11/2025,1193.37,905930624.00,Technology,5.94,0.713,0.51,3.30,0.75,0.00,3.51,2.47,16.35,33.49,3.46,2.87,7.50,1.67,108.73,57.86
CLS,7/11/2025,322.10,533068160.00,Technology,4.17,0.737,1.04,10.11,0.75,0.00,9.47,5.42,30.01,51.70,6.48,4.70,7.18,1.60,128.98,58.73
AMAT,7/11/2025,230.07,1321392768.00,Technology,0.87,0.905,0.85,1.86,0.75,1.00,4.70,0.60,5.44,39.21,3.46,2.96,6.24,1.84,97.16,54.95
